Gelir,Yas,KrediPuani,CalismaYili,Skor,GeriOdemeSuresi
76100.0,26.0,831.0,30.0,78.76102941176472,19.592647058823523
27010.0,34.0,658.0,10.0,50.760122549019606,37.89455882352941
22030.0,18.0,767.0,29.0,53.423995098039214,34.05132352941177
9505.0,43.0,621.0,45.0,50.405551470588236,44.41786764705883
50813.0,40.0,64.0,18.0,34.47840441176471,50.120279411764706
53054.0,56.0,303.0,48.0,55.33054411764705,44.41297058823529
72815.0,18.0,457.0,18.0,56.046801470588235,30.472720588235298
12813.0,55.0,385.0,34.0,41.53036519607843,51.94380882352941
11670.0,49.0,469.0,14.0,40.30958333333333,49.053088235294126
29559.0,43.0,648.0,51.0,60.19638970588235,38.61025000000001
29650.0,40.0,323.0,5.0,36.563848039215685,47.79338235294117
25234.0,76.0,640.0,34.0,63.129416666666664,43.80914705882353
10205.0,19.0,767.0,21.0,47.89158088235294,37.125220588235294
37505.0,59.0,156.0,47.0,43.12123774509804,52.976691176470595
45042.0,43.0,371.0,56.0,53.80055392156863,42.88655882352941
42176.0,46.0,836.0,14.0,68.31403921568628,30.279529411764706
70092.0,37.0,603.0,16.0,66.03351960784315,29.094647058823533
6430.0,76.0,328.0,37.0,41.89556372549019,57.686617647058824
76417.0,75.0,344.0,50.0,70.82500245098039,39.60163235294118
24608.0,60.0,357.0,26.0,44.47898039215686,50.40682352941177
22775.0,68.0,428.0,17.0,47.51513480392157,49.718014705882354
17765.0,64.0,195.0,22.0,34.563835784313724,57.35286764705883
53600.0,64.0,793.0,34.0,78.14313725490197,30.805882352941175
44142.0,24.0,343.0,45.0,45.84148529411765,41.69979411764706
26682.0,82.0,6.0,43.0,36.74888725490196,60.0
77972.0,63.0,614.0,14.0,75.29048039215687,29.859941176470585
2978.0,38.0,843.0,32.0,55.0618480392157,38.93197058823529
4437.0,47.0,310.0,4.0,27.977600490196078,55.30251470588235
18698.0,79.0,749.0,52.0,69.51371078431373,42.59020588235294
11516.0,35.0,627.0,11.0,43.89300980392157,42.79747058823529
15186.0,83.0,431.0,43.0,52.67318137254902,53.29173529411764
73181.0,48.0,259.0,3.0,51.42522794117647,39.73416176470589
24985.0,39.0,692.0,58.0,60.7772181372549,37.989044117647055
34314.0,69.0,644.0,46.0,67.07559313725491,40.59797058823529
19784.0,60.0,365.0,57.0,48.21311764705882,51.37752941176471
18138.0,80.0,189.0,0.0,34.51939705882353,59.31844117647059
3096.0,29.0,172.0,53.0,24.91198039215686,57.578941176470586
39864.0,60.0,524.0,47.0,61.558803921568625,41.68105882352941
49955.0,58.0,16.0,22.0,36.79979166666667,53.8641911764706
9010.0,60.0,138.0,45.0,31.490514705882354,60.0
32814.0,34.0,208.0,16.0,32.76015196078431,49.67885294117647
47453.0,21.0,356.0,42.0,46.48899264705882,40.13675
4161.0,83.0,185.0,56.0,39.129002450980394,60.0
23761.0,36.0,84.0,51.0,29.833904411764706,55.82445588235294
28886.0,72.0,729.0,7.0,63.24597549019608,39.807911764705885
31594.0,82.0,42.0,47.0,40.951671568627454,60.0
63418.0,42.0,191.0,6.0,43.65233823529412,43.46902941176471
22155.0,43.0,34.0,15.0,22.525772058823527,58.52007352941176
35471.0,56.0,799.0,43.0,71.24476225490196,34.220485294117644
19698.0,65.0,88.0,25.0,30.988710784313728,60.0
33344.0,46.0,831.0,29.0,67.26674509803921,32.63458823529412
45544.0,36.0,243.0,6.0,37.98488235294118,45.70223529411764
39218.0,34.0,734.0,17.0,60.08125980392157,32.60726470588234
25251.0,67.0,324.0,49.0,48.64755637254902,52.040191176470586
